   Time (ps)    Forward (kJ/mol)           Time (ps)    Reverse (kJ/mol)
     110.0    -717.504 +- 7.651              100.0    -724.876 +- 2.801
     120.0    -726.587 +- 4.597              110.0    -728.034 +- 3.539
     130.0    -726.741 +- 3.873              120.0    -728.021 +- 3.348
     140.0    -724.126 +- 3.733              130.0    -724.704 +- 2.988
     150.0    -728.438 +- 3.424              140.0    -725.128 +- 2.963
     160.0    -729.022 +- 3.747              150.0    -725.337 +- 4.125
     170.0    -727.889 +- 2.148              160.0    -722.355 +- 2.224
     180.0    -727.586 +- 2.145              170.0    -724.315 +- 3.133
     190.0    -726.214 +- 2.125              180.0    -725.627 +- 3.490
     200.0    -724.876 +- 2.801              190.0    -722.869 +- 3.506
